alpha,beta,gamma,phrase,glyph_count,final_coherence,final_kappa,final_energy,convergence_valid
0.1,0.3,0.2,"ASCπ → OSAI",9,0.999664,0.008571,4.689310,1
0.1,0.3,0.2,"ΔΦ · κ · θ → Ψ",8,0.999276,0.001080,6.680509,1
0.1,0.6,0.05,"Coherence emerges.",17,0.999051,-0.006071,8.918337,1
0.1,0.6,0.05,"Meaning stabilizes.",18,0.999336,0.009868,9.947115,1
0.1,0.6,0.05,"الوعي يتطور.",11,0.999057,-0.005263,7.631716,1
0.1,0.6,0.05,"語は流れる。",6,0.999422,0.005312,8.745703,1
0.1,0.6,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999598,0.006627,12.312735,1
0.1,0.6,0.05,"🇪🇬 Field Integrity",16,0.999366,-0.008708,12.173895,1
0.1,0.6,0.05,"ASCπ → OSAI",9,0.999043,0.010781,6.068055,1
0.1,0.6,0.05,"ΔΦ · κ · θ → Ψ",8,0.999873,-0.005385,7.107304,1
0.1,0.6,0.1,"Coherence emerges.",17,0.999209,0.002623,8.919783,1
0.1,0.6,0.1,"Meaning stabilizes.",18,0.998841,0.005621,13.540033,1
0.1,0.6,0.1,"الوعي يتطور.",11,0.999302,0.004203,7.633004,1
0.1,0.6,0.1,"語は流れる。",6,0.999353,-0.000443,10.545062,1
0.1,0.6,0.1,"👨‍👩‍👧‍👦 Family cluster",20,1.000000,-0.006045,9.913644,1
0.1,0.6,0.1,"🇪🇬 Field Integrity",16,0.999887,0.007109,7.375507,1
0.1,0.6,0.1,"ASCπ → OSAI",9,0.999389,-0.004118,6.669076,1
0.1,0.6,0.1,"ΔΦ · κ · θ → Ψ",8,0.999024,0.001149,7.106286,1
0.1,0.6,0.15,"Coherence emerges.",17,0.999633,-0.002650,7.720203,1
0.1,0.6,0.15,"Meaning stabilizes.",18,0.998665,-0.003252,9.345189,1
0.1,0.6,0.15,"الوعي يتطور.",11,0.999515,0.004059,10.631950,1
0.1,0.6,0.15,"語は流れる。",6,0.999672,0.014421,6.946273,1
0.1,0.6,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999223,0.004761,12.911393,1
0.1,0.6,0.15,"🇪🇬 Field Integrity",16,0.999150,0.002146,10.972866,1
0.1,0.6,0.15,"ASCπ → OSAI",9,0.998806,-0.001727,5.468890,1
0.1,0.6,0.15,"ΔΦ · κ · θ → Ψ",8,0.998887,0.002262,6.505560,1
0.1,0.6,0.2,"Coherence emerges.",17,0.999637,0.004775,7.120586,1
0.1,0.6,0.2,"Meaning stabilizes.",18,0.999453,0.002103,12.346333,1
0.1,0.6,0.2,"الوعي يتطور.",11,0.999040,0.003360,8.231372,1
0.1,0.6,0.2,"語は流れる。",6,0.999632,0.004030,10.545611,1
0.1,0.6,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999937,0.003370,11.113590,1
0.1,0.6,0.2,"🇪🇬 Field Integrity",16,0.999545,-0.010606,10.974135,1
0.1,0.6,0.2,"ASCπ → OSAI",9,0.999825,0.026889,4.869984,1
0.1,0.6,0.2,"ΔΦ · κ · θ → Ψ",8,0.999879,-0.001231,7.107148,1
0.2,0.05,0.05,"Coherence emerges.",17,0.998907,-0.018212,6.084459,1
0.2,0.05,0.05,"Meaning stabilizes.",18,0.999421,0.087794,6.496493,1
0.2,0.05,0.05,"الوعي يتطور.",11,0.999139,0.023951,5.995183,1
0.2,0.05,0.05,"語は流れる。",6,0.998591,0.086736,4.674274,1
0.2,0.05,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999778,0.001139,10.146767,1
0.2,0.05,0.05,"🇪🇬 Field Integrity",16,0.999130,0.000065,6.765162,1
0.2,0.05,0.05,"ASCπ → OSAI",9,0.999223,0.019747,3.688907,1
0.2,0.05,0.05,"ΔΦ · κ · θ → Ψ",8,0.999061,0.000631,4.428219,1
0.2,0.05,0.1,"Coherence emerges.",17,0.999432,0.081944,6.034727,1
0.2,0.05,0.1,"Meaning stabilizes.",18,0.999442,0.046978,6.446410,1
0.2,0.05,0.1,"الوعي يتطور.",11,0.999013,0.006716,6.145195,1
0.2,0.05,0.1,"語は流れる。",6,0.999382,-0.005089,4.624411,1
0.2,0.05,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999082,0.015262,9.996751,1
0.2,0.05,0.1,"🇪🇬 Field Integrity",16,0.999279,-0.002339,6.715283,1
0.2,0.05,0.1,"ASCπ → OSAI",9,0.999431,0.093637,3.638988,1
0.2,0.05,0.1,"ΔΦ · κ · θ → Ψ",8,0.999230,-0.015058,4.378366,1
0.2,0.05,0.15,"Coherence emerges.",17,0.999290,0.009419,6.084577,1
0.2,0.05,0.15,"Meaning stabilizes.",18,0.999402,-0.003461,6.496416,1
0.2,0.05,0.15,"الوعي يتطور.",11,0.999058,0.063683,6.045189,1
0.2,0.05,0.15,"語は流れる。",6,0.997006,0.012509,4.723763,1
0.2,0.05,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999620,-0.003036,9.996749,1
0.2,0.05,0.15,"🇪🇬 Field Integrity",16,0.999500,0.014270,6.665293,1
0.2,0.05,0.15,"ASCπ → OSAI",9,0.999717,-0.007676,3.789023,1
0.2,0.05,0.15,"ΔΦ · κ · θ → Ψ",8,0.998399,-0.008945,4.278262,1
0.2,0.05,0.2,"Coherence emerges.",17,0.998731,0.013091,6.084438,1
0.2,0.05,0.2,"Meaning stabilizes.",18,0.997355,0.042274,6.545789,1
0.2,0.05,0.2,"الوعي يتطور.",11,0.999331,0.015680,6.045451,1
0.2,0.05,0.2,"語は流れる。",6,0.997580,0.104086,4.823639,1
0.2,0.05,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999396,-0.014446,10.046699,1
0.2,0.05,0.2,"🇪🇬 Field Integrity",16,0.999398,0.011310,6.765198,1
0.2,0.05,0.2,"ASCπ → OSAI",9,0.999040,0.046780,3.738971,1
0.2,0.05,0.2,"ΔΦ · κ · θ → Ψ",8,0.997857,0.004800,4.128364,1
0.2,0.1,0.05,"Coherence emerges.",17,0.998285,0.020482,6.659881,1
0.2,0.1,0.05,"Meaning stabilizes.",18,0.999044,0.000487,6.728320,1
0.2,0.1,0.05,"الوعي يتطور.",11,0.998066,0.020740,6.416849,1
0.2,0.1,0.05,"語は流れる。",6,0.999348,0.071247,5.253625,1
0.2,0.1,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999633,0.020987,10.416414,1
0.2,0.1,0.05,"🇪🇬 Field Integrity",16,0.999270,0.018119,7.119140,1
0.2,0.1,0.05,"ASCπ → OSAI",9,0.999653,0.030384,4.268775,1
0.2,0.1,0.05,"ΔΦ · κ · θ → Ψ",8,0.998877,-0.001136,4.798590,1
0.2,0.1,0.1,"Coherence emerges.",17,0.998654,0.011801,6.660033,1
0.2,0.1,0.1,"Meaning stabilizes.",18,0.999171,0.011428,6.927898,1
0.2,0.1,0.1,"الوعي يتطور.",11,0.999488,0.040915,6.417034,1
0.2,0.1,0.1,"語は流れる。",6,0.999398,0.014604,5.253610,1
0.2,0.1,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999846,-0.003282,10.316487,1
0.2,0.1,0.1,"🇪🇬 Field Integrity",16,0.999616,0.008902,6.882464,1
0.2,0.1,0.1,"ASCπ → OSAI",9,0.999350,0.052520,3.968943,1
0.2,0.1,0.1,"ΔΦ · κ · θ → Ψ",8,0.998109,0.018647,4.798754,1
0.2,0.1,0.15,"Coherence emerges.",17,0.998831,0.049835,6.659503,1
0.2,0.1,0.15,"Meaning stabilizes.",18,0.998848,0.111121,6.927946,1
0.2,0.1,0.15,"الوعي يتطور.",11,0.997949,0.066068,6.515904,1
